Unnamed: 0,店舗名,住所,緯度,経度,チェック
61,盛岡菜園店,岩手県 盛岡市 菜園1-11-11 ホテルロイヤル盛岡,39.7015,141.146759,0
62,盛岡フェザン店,岩手県 盛岡市 盛岡駅前通1-44 フェザン本館2FH,39.696392,141.139297,0
63,イオンモール盛岡店,岩手県 盛岡市 前潟4-7-1,39.71180087,141.0986792,0
64,盛岡津志田店,岩手県 盛岡市 津志田26-7-1,39.67110619,141.1565608,0
65,盛岡西バイパス店,岩手県 盛岡市 北飯岡4-12-20,39.669132,141.134293,0
66,イオンモール盛岡南店,岩手県 盛岡市 本宮7-1-1 イオンモール盛岡南,39.684128,141.128922,0
67,一関店,岩手県 一関市 山目泥田55-1,38.937691,141.112442,0
68,奥州水沢店,岩手県 奥州市 水沢佐倉河羽黒田57-2,39.145775,141.153595,0
69,北上店,岩手県 北上市 北鬼柳18地割96-2,39.294075,141.099548,0
70,エスパル仙台本館店,宮城県 仙台市青葉区 中央1-1-1 エスパル仙台本館,38.260338,140.881699,0
71,仙台クリスロード店,宮城県 仙台市青葉区 中央2-5-3 第二やまふくビル,38.261482,140.876999,0
72,仙台南町通り店,宮城県 仙台市青葉区 中央3-7-25 ダイワロイネットホテル仙台西口,38.259369,140.878967,0
73,ホテルグランテラス 仙台国分町店,宮城県 仙台市青葉区 国分町2-2-2 ホテルグランテラス仙台国分町　1F,38.262283,140.869843,0
74,仙台アエル店,宮城県 仙台市青葉区 中央1-3-1 仙台ＡＥＲ,38.262653,140.881424,0
75,仙台パルコ店,宮城県 仙台市青葉区 中央1-2-3 仙台パルコ,38.261703,140.881943,0
76,エスパル仙台東館店,宮城県 仙台市青葉区 中央1-1-1 エスパル仙台東館 4階,38.260338,140.881699,0
77,仙台フォーラス店,宮城県 仙台市青葉区 一番町3-11-15 仙台フォーラス,38.262096,140.871582,0
78,利府街道店,宮城県 宮城郡 利府町中央3-20-4,38.327366,140.97641,0
79,イオンモール新利府南館1階店,宮城県 宮城郡 利府町新中道3-1-1 イオンモール新利府南館,38.32262,140.972351,0
80,イオンモール新利府南館2階店,宮城県 宮城郡 利府町新中道3-1-1 イオンモール新利府南館,38.32262,140.972351,0
81,仙台台原店,宮城県 仙台市青葉区 台原1-8-7,38.283401,140.872421,0
82,名取増田店,宮城県 名取市 増田北谷235-1,38.173679,140.892136,0
83,イオンモール名取店,宮城県 名取市 杜せきのした5-3-1 イオンモール名取,38.163731,140.895782,0
84,仙台市名坂店,宮城県 仙台市泉区 高玉町3-10,38.318485,140.893326,0
85,泉中央セルバ店,宮城県 仙台市泉区 泉中央1-4-1 泉中央セルバ,38.323639,140.882217,0
86,仙台泉パークタウン桂店,宮城県 仙台市泉区 桂1-1-1 仙台泉パークタウン桂ガーデンプラザ,38.333412,140.864182,0
87,仙台泉パークタウン タピオ店,宮城県 仙台市泉区 寺岡6-5-1 泉パークタウン タピオ,38.342945,140.836349,0
88,イオンモール富谷店,宮城県 富谷市 大清水1-33-1 イオンモール富谷,38.3650358,140.875236,0
89,ザ・モール仙台長町本館店,宮城県 仙台市太白区 長町7-20-3 ザ・モール仙台長町本館3階,38.225822,140.876862,0
90,ザ・モール仙台長町 Ｐａｒｔ２店,宮城県 仙台市太白区 長町7-20-3 ザ・モール仙台長町 Part2,38.225822,140.876862,0
91,仙台大野田店,宮城県 仙台市太白区 大野田4-2-1,38.212322,140.875092,0
92,TSUTAYA 東仙台店,宮城県 仙台市宮城野区 東仙台4-14-1 TSUTAYA ヤマト屋書店 東仙台店,38.277847,140.90834,0
93,仙台駅東口店,宮城県 仙台市宮城野区 榴岡1-2-10 エンドウビル 1F,38.259537,140.88588,0
94,仙台六丁の目店,宮城県 仙台市若林区 六丁の目中町1-70,38.251041,140.936554,0
95,TSUTAYA 仙台荒井店,宮城県 仙台市若林区 なないろの里3-3-28 クロスモール仙台荒井,38.23815937,140.9305722,0
96,蔦屋書店 多賀城市立図書館店,宮城県 多賀城市 中央2-4-3,38.29221,141.00441,0
97,イオンモール石巻店,宮城県 石巻市 茜平4-104 イオンモール石巻,38.447937,141.266296,0
98,石巻バイパス店,宮城県 石巻市 新橋10-30,38.440002,141.287384,0
99,古川店,宮城県 大崎市 古川旭2-3-15,38.566116,140.973007,0
100,秋田駅店,秋田県 秋田市 中通7-1-2,39.720009,140.129105,0
101,秋田東通店,秋田県 秋田市 東通4-5-20,39.713104,140.142944,0
102,秋田保戸野学園通り店,秋田県 秋田市 保戸野鉄砲町14-18,39.724861,140.108994,0
103,イオンモール秋田店,秋田県 秋田市 御所野地蔵田1-1-1,39.663094,140.160889,0
104,秋田アルス店,秋田県 秋田市 中通7-2-1 秋田ステーションビル アルス,39.712402,140.128632,0
105,秋田大学医学部附属病院店,秋田県 秋田市 広面蓮沼44-2 秋田大学医学部附属病院,39.729149,140.149078,0
106,横手店,秋田県 横手市 条里1-6-21,39.309666,140.556839,0
107,イオンモール大曲店,秋田県 大仙市 和合坪立177 イオンモール大曲,39.438168,140.509277,0
108,イオンタウン能代店,秋田県 能代市 鰄渕古屋布1-2 イオンタウン能代,40.189766,140.078125,0
109,山形エスパル店,山形県 山形市 香澄町1-1-1 エスパル山形,38.248405,140.327972,0
110,山形馬見ヶ崎店,山形県 山形市 馬見ヶ崎2-7-28,38.281464,140.331619,0
111,山形県立中央病院店,山形県 山形市 青柳1800 山形県立中央病院,38.300449,140.346176,0
112,山形白山店,山形県 山形市 白山3-9-24,38.225475,140.320023,0
113,米沢春日店,山形県 米沢市 春日2-13-27,37.923088,140.106491,0
114,天童鎌田店,山形県 天童市 鎌田2-5-24,38.355614,140.387589,0
115,イオンモール天童店,山形県 天童市 芳賀タウン北4-1-1 イオンモール天童,38.345303,140.364975,0
116,鶴岡店,山形県 鶴岡市 上畑町3-30,38.736038,139.829498,0
117,酒田みずほ店,山形県 酒田市 みずほ1-20-6,38.9035,139.849518,0
118,福島矢野目店,福島県 福島市 南矢野目谷地70-5,37.788345,140.453354,0
119,福島県立医科大学附属病院店,福島県 福島市 光が丘1 福島県立医科大学附属病院,37.689926,140.471603,0
120,福島エスパル店,福島県 福島市 栄町1-1 エスパル福島,37.753189,140.460678,0
121,福島八木田店,福島県 福島市 八木田並柳117-1,37.746468,140.445328,0
122,フレスポ須賀川店,福島県 須賀川市 森宿北向85-2-1 フレスポ須賀川グリーンモール,37.309223,140.364441,0
123,郡山安積店,福島県 郡山市 安積町荒井南千保8-2,37.369232,140.370453,0
124,郡山コスモス通り店,福島県 郡山市 堤2-41,37.397354,140.335861,0
125,郡山モルティ店,福島県 郡山市 駅前2-11-1 ビッグアイ モルティ 2F,37.399582,140.387833,0
126,郡山駅店,福島県 郡山市 燧田195 エキナカ,37.397964,140.388947,0
127,郡山並木店,福島県 郡山市 並木1-12-17,37.410805,140.36174,0
128,TSUTAYA BOOKSTORE AIZU店,福島県 会津若松市 門田町黒岩大坪21,37.476089,139.935822,0
129,カインズ会津若松店,福島県 会津若松市 神指町南四合幕内南632-1,37.491257,139.897415,0
130,いわき平堂ノ前店,福島県 いわき市 平堂ノ前18,37.053116,140.885223,0
131,いわき鹿島街道店,福島県 いわき市 常磐上矢田町戸石9-1,37.016563,140.90271,0
132,いわき小名浜店,福島県 いわき市 小名浜岡小名高田9-1 リンクスクエア小名浜,36.959007,140.904144,0
133,イオンモールいわき小名浜店,福島県 いわき市 小名浜辰巳町79 イオンモールいわき小名浜,36.945366,140.90213,0
134,土浦店,茨城県 土浦市 真鍋新町19-17,36.091209,140.208115,0
135,イオンモール土浦店,茨城県 土浦市 上高津367 イオンモール土浦,36.08086,140.17955,0
136,ひたち野うしく店,茨城県 牛久市 ひたち野東2-7-1 アクロスプラザひたち野うしく,36.007099,140.163895,0
